Miller Index,Shift,Atoms,Surface Area (Ų),Symmetric,Formula
"(1,0,0)",0.1449,270,113.09,False,TiO2
"(1,0,0)",0.1544,270,113.09,False,TiO2
"(1,0,0)",0.1629,270,113.09,False,TiO2
"(1,0,0)",0.1702,270,113.09,False,TiO2
"(1,0,0)",0.176,270,113.09,False,TiO2
"(1,0,0)",0.1818,270,113.09,False,TiO2
"(1,0,0)",0.1882,270,113.09,False,TiO2
"(1,0,0)",0.1948,270,113.09,False,TiO2
"(1,0,0)",0.2019,270,113.09,False,TiO2
"(1,0,0)",0.21,270,113.09,False,TiO2
"(1,0,0)",0.2176,270,113.09,False,TiO2
"(1,0,0)",0.2261,270,113.09,False,TiO2
"(1,0,0)",0.2342,270,113.09,False,TiO2
"(1,0,0)",0.2408,270,113.09,False,TiO2
"(1,0,0)",0.2517,270,113.09,False,TiO2
"(1,0,0)",0.261,270,113.09,False,TiO2
"(1,0,0)",0.2689,270,113.09,False,TiO2
"(1,0,0)",0.2841,270,113.09,False,TiO2
"(1,0,0)",0.2966,270,113.09,False,TiO2
"(1,0,0)",0.307,270,113.09,False,TiO2
"(1,0,0)",0.3243,270,113.09,False,TiO2
"(1,0,-1)",0.007,270,168.63,False,TiO2
"(1,0,-1)",0.019,270,168.63,False,TiO2
"(1,0,-1)",0.033,270,168.63,False,TiO2
"(1,0,-1)",0.0447,270,168.63,False,TiO2
"(1,0,-1)",0.0572,270,168.63,False,TiO2
"(1,0,-1)",0.0692,270,168.63,False,TiO2
"(1,0,-1)",0.0795,270,168.63,False,TiO2
"(1,0,-1)",0.0949,270,168.63,False,TiO2
"(1,0,-1)",0.106,270,168.63,False,TiO2
"(1,0,-1)",0.1117,270,168.63,False,TiO2
"(1,0,-1)",0.1241,270,168.63,False,TiO2
"(1,0,-1)",0.1377,270,168.63,False,TiO2
"(1,0,-1)",0.1473,270,168.63,False,TiO2
"(1,0,-1)",0.1586,270,168.63,False,TiO2
"(1,0,-1)",0.1676,270,168.63,False,TiO2
"(1,0,-1)",0.1729,270,168.63,False,TiO2
"(1,0,-1)",0.1781,270,168.63,False,TiO2
"(1,0,-1)",0.1965,270,168.63,False,TiO2
